symbol,name,token
APOLLO-EQ,APOLLO,1134
APOLLOHOSP-EQ,APOLLOHOSP,157
APOLLOPIPE-EQ,APOLLOPIPE,14361
APOLLOTYRE-EQ,APOLLOTYRE,163
APOLSINHOT-EQ,APOLSINHOT,6302
APTUS-EQ,APTUS,5435
ARCHIDPLY-EQ,ARCHIDPLY,16795
ARE&M-EQ,ARE&M,100
ARIES-EQ,ARIES,15204
ARIHANTCAP-EQ,ARIHANTCAP,3813
ARIHANTSUP-EQ,ARIHANTSUP,20159
ARISINFRA-EQ,ARISINFRA,757614
ARKADE-EQ,ARKADE,25398
ARMANFIN-EQ,ARMANFIN,17263
AROGRANITE-EQ,AROGRANITE,14557
ARTEMISMED-EQ,ARTEMISMED,16913
ARVEE-EQ,ARVEE,2814
ARVIND-EQ,ARVIND,193
ARVINDFASN-EQ,ARVINDFASN,9111
ARVSMART-EQ,ARVSMART,10457
ASAHIINDIA-EQ,ASAHIINDIA,5378
ASAL-EQ,ASAL,10634
ASALCBR-EQ,ASALCBR,17598
ASHAPURMIN-EQ,ASHAPURMIN,203
ASHIANA-EQ,ASHIANA,24403
ASHOKA-EQ,ASHOKA,20182
ASHOKAMET-EQ,ASHOKAMET,16943
ASHOKLEY-EQ,ASHOKLEY,212
ASIANENE-EQ,ASIANENE,7030
ASIANPAINT-EQ,ASIANPAINT,236
ASKAUTOLTD-EQ,ASKAUTOLTD,20152
ASMS-EQ,ASMS,14064
ASPINWALL-EQ,ASPINWALL,17270
ASTEC-EQ,ASTEC,17728
ASTERDM-EQ,ASTERDM,1508
ASTRAL-EQ,ASTRAL,14418
ASTRAMICRO-EQ,ASTRAMICRO,11618
ASTRAZEN-EQ,ASTRAZEN,5610
ASTRON-EQ,ASTRON,874
ATAM-EQ,ATAM,15404
ATGL-EQ,ATGL,6066
ATHERENERG-EQ,ATHERENERG,757645
ATL-EQ,ATL,17778
ATLANTAA-EQ,ATLANTAA,13585
ATUL-EQ,ATUL,263
ATULAUTO-EQ,ATULAUTO,30023
AUBANK-EQ,AUBANK,21238
AURIONPRO-EQ,AURIONPRO,12022
AUROPHARMA-EQ,AUROPHARMA,275
AURUM-EQ,AURUM,10310
AUTOAXLES-EQ,AUTOAXLES,278
AUTOBEES-EQ,AUTOBEES,7880
AUTOIETF-EQ,AUTOIETF,7844
AUTOIND-EQ,AUTOIND,14106
AVADHSUGAR-EQ,AVADHSUGAR,21406
AVALON-EQ,AVALON,15058
AVANTEL-EQ,AVANTEL,24610
AVANTIFEED-EQ,AVANTIFEED,7936
AVG-EQ,AVG,15589
AVL-EQ,AVL,25984
AVONMORE-EQ,AVONMORE,13557
AVROIND-EQ,AVROIND,8827
AVTNPL-EQ,AVTNPL,14008
AWFIS-EQ,AWFIS,23864
AWHCL-EQ,AWHCL,1797
AWL-EQ,AWL,8110
AXISBANK-EQ,AXISBANK,5900
AXISBNKETF-EQ,AXISBNKETF,1044
AXISBPSETF-EQ,AXISBPSETF,3530
AXISCETF-EQ,AXISCETF,5732
AXISGOLD-EQ,AXISGOLD,20532
AXISHCETF-EQ,AXISHCETF,3608
AXISILVER-EQ,AXISILVER,11193
AXISNIFTY-EQ,AXISNIFTY,21252
AXISTECETF-EQ,AXISTECETF,3010
AXISVALUE-EQ,AXISVALUE,30155
AXITA-EQ,AXITA,9902
AXSENSEX-EQ,AXSENSEX,14742
AYMSYNTEX-EQ,AYMSYNTEX,10285
AZAD-EQ,AZAD,20905
BAFNAPH-EQ,BAFNAPH,17742
BAGFILMS-EQ,BAGFILMS,11226
BAIDFIN-EQ,BAIDFIN,13794
BAJAJ-AUTO-EQ,BAJAJ-AUTO,16669
BAJAJCON-EQ,BAJAJCON,19531
BAJAJELEC-EQ,BAJAJELEC,15034
BAJAJFINSV-EQ,BAJAJFINSV,16675
BAJAJHCARE-EQ,BAJAJHCARE,6863
BAJAJHFL-EQ,BAJAJHFL,25270
BAJAJHIND-EQ,BAJAJHIND,308
BAJAJHLDNG-EQ,BAJAJHLDNG,305
BAJAJINDEF-EQ,BAJAJINDEF,29678
BAJFINANCE-EQ,BAJFINANCE,317
BALAJEE-EQ,BALAJEE,25203
BALAMINES-EQ,BALAMINES,14501
BALAXI-EQ,BALAXI,11309
BALKRISHNA-EQ,BALKRISHNA,10181
BALKRISIND-EQ,BALKRISIND,335
BALMLAWRIE-EQ,BALMLAWRIE,338
BALPHARMA-EQ,BALPHARMA,13441
BALRAMCHIN-EQ,BALRAMCHIN,341
BANARBEADS-EQ,BANARBEADS,347
BANARISUG-EQ,BANARISUG,350
BANCOINDIA-EQ,BANCOINDIA,13880
BANDHANBNK-EQ,BANDHANBNK,2263
BANG-EQ,BANG,15303
BANKA-EQ,BANKA,822
BANKBARODA-EQ,BANKBARODA,4668
BANKBEES-EQ,BANKBEES,11439
BANKBETF-EQ,BANKBETF,21986
BANKETF-EQ,BANKETF,17419
BANKETFADD-EQ,BANKETFADD,13644
BANKIETF-EQ,BANKIETF,11037
BANKINDIA-EQ,BANKINDIA,4745
BANKNIFTY1-EQ,BANKNIFTY1,5851
BANKPSU-EQ,BANKPSU,25725
BANSALWIRE-EQ,BANSALWIRE,24386
BANSWRAS-EQ,BANSWRAS,14511
BARBEQUE-EQ,BARBEQUE,3127
BASF-EQ,BASF,368
BASML-EQ,BASML,12034
BATAINDIA-EQ,BATAINDIA,371
BAYERCROP-EQ,BAYERCROP,17927
