symbol,token
Nifty Fin Service,99926037
Nifty Energy,99926020
Nifty Metal,99926030
Nifty Bank,99926009
Nifty FMCG,99926021
Nifty IT,99926008

Nifty Auto,99926029
Nifty Pharma,99926023
Nifty Realty,99926018
Nifty PSU Bank,99926025
Nifty Media,99926031



