symbol,token,name,lotsize
ITETFADD,17207,ITETFADD,1
FACT,1008,FACT,1
EMAMIPAP,10074,EMAMIPAP,1
FINCABLES,1038,FINCABLES,1
STEELCITY,10406,STEELCITY,1
UFLEX,1053,UFLEX,1
UTISENSETF,10515,UTISENSETF,1
OFSS,10738,OFSS,1
JUNIORBEES,10939,JUNIORBEES,1
SANGINITA,11032,SANGINITA,1
SECURKLOUD,11058,SECURKLOUD,1
UCOBANK,11223,UCOBANK,1
BIOCON,11373,BIOCON,1
TIPSFILMS,11374,TIPSFILMS,1
APARINDS,11491,APARINDS,1
NARMADA,11627,NARMADA,1
DWARKESH,11667,DWARKESH,1
GODFRYPHLP,1181,GODFRYPHLP,1
AMBER,1185,AMBER,1
PRIMESECU,11864,PRIMESECU,1
63MOONS,11868,63MOONS,1
FMGOETZE,1190,FMGOETZE,1
BIKAJI,11966,BIKAJI,1
GOLDIAM,11971,GOLDIAM,1
FAZE3Q,12000,FAZE3Q,1
RUSTOMJEE,12219,RUSTOMJEE,1
V1NSETEST,12863,V1NSETEST,1
IIFLCAPS,13072,IIFLCAPS,1
GALAXYSURF,1315,GALAXYSURF,1
JAGRAN,13211,JAGRAN,1
CENTURYPLY,13305,CENTURYPLY,1
HEG,1336,HEG,1
MALUPAPER,13352,MALUPAPER,1
GPIL,13409,GPIL,1
HEROMOTOCO,1348,HEROMOTOCO,1
AKASH,13510,AKASH,1
ANANTRAJ,13620,ANANTRAJ,1
HINDALCO,1363,HINDALCO,1
GEECEE,13658,GEECEE,1
MANOMAY,13753,MANOMAY,1
SHIVAMAUTO,13756,SHIVAMAUTO,1
AARTIPHARM,13868,AARTIPHARM,1
HINDUNILVR,1394,HINDUNILVR,1
PARACABLES,13951,PARACABLES,1
HBLENGINE,13966,HBLENGINE,1
LUMAXTECH,14014,LUMAXTECH,1
VEEDOL,14019,VEEDOL,1
IZMO,14174,IZMO,1
FSL,14304,FSL,1
INDIANB,14309,INDIANB,1
SMSPHARMA,14329,SMSPHARMA,1
HSCL,14334,HSCL,1
GODREJAGRO,144,GODREJAGRO,1
PAGEIND,14413,PAGEIND,1
NAHARSPING,14440,NAHARSPING,1
GOKULAGRO,14480,GOKULAGRO,1
THEMISMED,14485,THEMISMED,1
NCLIND,14490,NCLIND,1
ICRA,14523,ICRA,1
